DATE,PER,OIL,PMI,INCOME,CORP_PROFIT,POPULATION,UNEMPLOYMENT,,,,
01/11/2012,16.12,86.66,49.5,37696,1663.9,315276,7.7,,,,
01/12/2012,16.44,88.25,50.4,38659,1663.9,315446,7.9,,,,
01/01/2013,17.03,94.69,52.3,36235,1679.5,315592,8,,,,
01/02/2013,17.32,95.32,53.1,36211,1679.5,315730,7.7,,,,
01/03/2013,17.68,93.05,51.5,36232,1679.5,315881,7.5,,,,
01/04/2013,17.69,92.07,50,36229,1658.1,316043,7.6,,,,
01/05/2013,18.25,94.8,50,36423,1658.1,316222,7.5,,,,
01/06/2013,17.8,95.8,52.5,36489,1658.1,316411,7.5,,,,
01/07/2013,18.12,104.61,54.9,36444,1685.6,316618,7.3,,,,
01/08/2013,17.91,106.57,56.3,36527,1685.6,316844,7.3,,,,
01/09/2013,17.88,106.29,56,36594,1685.6,317068,7.2,,,,
01/10/2013,17.86,100.54,56.6,36473,1730.3,317281,7.2,,,,
01/11/2013,18.15,93.86,57,36545,1730.3,317478,6.9,,,,
01/12/2013,18.04,97.63,56.5,36565,1730.3,317664,6.7,,,,
01/01/2014,18.15,94.62,51.3,36680,1657.8,317837,6.6,,,,
01/02/2014,18.06,100.82,54.3,36867,1657.8,318001,6.7,,,,
01/03/2014,18.48,100.8,54.4,37068,1657.8,318172,6.7,,,,
01/04/2014,18.35,102.07,55.3,37149,1733.3,318350,6.2,,,,
01/05/2014,18.46,102.18,55.6,37281,1733.3,318540,6.3,,,,
01/06/2014,18.88,105.79,55.7,37435,1733.3,318739,6.1,,,,
01/07/2014,18.96,103.59,56.4,37483,1758,318954,6.2,,,,
01/08/2014,18.68,96.54,58.1,37626,1758,319183,6.2,,,,
01/09/2014,18.81,93.21,56.1,37653,1758,319411,5.9,,,,
01/10/2014,18.5,84.4,57.9,37794,1771.5,319628,5.7,,,,
01/11/2014,19.75,75.79,57.6,37917,1771.5,319822,5.8,,,,
01/12/2014,20.08,59.29,55.1,38010,1771.5,320002,5.6,,,,
01/01/2015,20.02,47.22,53.5,38014,1636.7,320169,5.7,,,,
01/02/2015,20.77,50.58,52.9,38059,1636.7,320326,5.5,,,,
01/03/2015,20.96,47.82,51.5,38025,1636.7,320489,5.4,,,,
01/04/2015,21.42,54.45,51.5,38234,1664.3,320660,5.4,,,,
01/05/2015,21.92,59.27,52.8,38349,1664.3,320843,5.5,,,,
01/06/2015,22.12,59.82,53.5,38424,1664.3,321035,5.3,,,,
01/07/2015,22.4,50.9,52.7,38494,1610.8,321241,5.2,,,,
01/08/2015,22.15,42.87,51.1,38584,1610.8,321459,5.1,,,,
01/09/2015,21.45,45.48,50.2,38634,1610.8,321675,5,,,,
01/10/2015,22.68,46.22,49.4,38715,1423.4,321881,5,,,,
