33.19,17.75,54.3,30195,507.6,278859,4.2,,,,
32.24,17.89,55.8,30267,507.6,279148,4.3,,,,
32.88,20.07,53.6,30268,505.7,279448,4.3,,,,
30.89,21.26,54.8,30364,505.7,279752,4.2,,,,
29.99,23.88,57,30310,505.7,280053,4.2,,,,
28.66,22.64,57.2,30468,523.1,280337,4.1,,,,
29.74,24.97,58.1,30655,523.1,280594,4.1,,,,
29.66,26.08,57.8,30879,523.1,280846,4,,,,
29.04,27.18,56.7,31111,497,281083,4,,,,
27.76,29.35,55.8,31208,497,281299,4.1,,,,
28.31,29.89,54.9,31260,497,281531,4,,,,
28.5,25.74,54.7,31363,488.9,281763,3.8,,,,
27.49,28.78,53.2,31454,488.9,281996,4,,,,
28.16,31.83,51.4,31498,488.9,282247,4,,,,
28.05,29.77,52.5,31635,481.9,282504,4,,,,
27.97,31.22,49.9,31776,481.9,282769,4.1,,,,
27.34,33.88,49.7,31747,481.9,283033,3.9,,,,
26.5,33.08,48.7,31770,460.2,283285,3.9,,,,
26.9,34.4,48.5,31722,460.2,283523,3.9,,,,
26.62,28.46,43.9,31735,460.2,283748,3.9,,,,
27.55,29.58,42.3,31886,494.9,283960,4.2,,,,
27.81,29.61,42.1,31928,494.9,284166,4.2,,,,
26.1,27.24,43.1,32004,494.9,284380,4.3,,,,
27.96,27.41,42.7,31907,520.2,284602,4.4,,,,
32.02,28.64,41.3,31814,520.2,284834,4.3,,,,
33.67,27.6,43.2,31789,520.2,285076,4.5,,,,
35.46,26.45,43.5,32239,475.3,285324,4.6,,,,
37.85,27.47,46.3,32771,475.3,285584,4.9,,,,
36.9,25.88,46.2,32502,475.3,285842,5,,,,
39.72,22.21,40.8,31968,458.9,286086,5.3,,,,
43.62,19.67,44.1,32019,458.9,286315,5.5,,,,
46.37,19.33,45.3,32074,458.9,286533,5.7,,,,
46.17,19.67,47.5,32733,506.8,286739,5.7,,,,
44.57,20.74,50.7,32744,506.8,286935,5.7,,,,
46.71,24.42,52.4,32707,506.8,287131,5.7,,,,
43.81,26.27,52.4,32776,564.1,287343,5.9,,,,
41.41,27.02,53.1,32821,564.1,287571,5.8,,,,
37.92,25.52,53.6,32866,564.1,287808,5.8,,,,
32.46,26.94,50.2,32736,620.4,288051,5.8,,,,
31.53,28.38,50.3,32681,620.4,288303,5.7,,,,
28.89,29.67,50.5,32670,620.4,288554,5.7,,,,
29.24,28.85,49,32716,695.1,288794,5.7,,,,
32.03,26.27,48.5,32765,695.1,289012,5.9,,,,
32.59,29.42,51.6,32837,695.1,289214,6,,,,
31.43,32.94,51.3,32828,689.9,289412,5.8,,,,
28.46,35.87,48.8,32739,689.9,289606,5.9,,,,
27.92,33.55,46.3,32832,689.9,289809,5.9,,,,
28.05,28.25,46.1,33019,692,290024,6,,,,
28.24,28.14,49,33249,692,290250,6.1,,,,
28.6,30.72,49,33335,692,290484,6.3,,,,
27.65,30.76,51,33682,733.4,290726,6.2,,,,
26.57,31.59,53.2,33861,733.4,290974,6.1,,,,
26.42,28.29,52.4,33442,733.4,291222,6.1,,,,
24.75,30.33,55.2,33557,787.4,291463,6,,,,
23.15,31.09,58.4,33778,787.4,291677,5.8,,,,
22.17,32.15,60.1,33814,787.4,291868,5.7,,,,
22.73,34.27,60.8,33830,901.9,292046,5.7,,,,
22.46,34.74,59.9,33880,901.9,292230,5.6,,,,
21.62,36.76,60.6,33979,901.9,292434,5.8,,,,
21.23,36.69,60.6,34065,939.7,292651,5.6,,,,
20.14,40.28,61.4,34214,939.7,292872,5.6,,,,
20.17,38.02,60.5,34188,939.7,293103,5.6,,,,
19.51,40.69,59.9,34213,978.8,293350,5.5,,,,
19.03,44.94,58.5,34284,978.8,293603,5.4,,,,
19.35,45.95,57.4,34255,978.8,293857,5.4,,,,
19.25,53.13,56.3,34257,973.7,294104,5.5,,,,
20.05,48.46,56.2,34149,973.7,294337,5.4,,,,
20.48,43.33,57.2,35370,973.7,294561,5.4,,,,
19.99,46.84,56.8,34164,1185.8,294768,5.3,,,,
20.11,47.97,55.5,34156,1185.8,294955,5.4,,,,
19.84,54.31,55.2,34240,1185.8,295149,5.2,,,,
19.02,53.04,52.2,34282,1206.2,295359,5.2,,,,
18.93,49.83,50.8,34398,1206.2,295582,5.1,,,,
19,56.26,52.4,34469,1206.2,295824,5,,,,
19,58.7,52.8,34527,1251.7,296077,5,,,,
18.72,64.97,52.4,34548,1251.7,296338,4.9,,,,
18.44,65.57,56.8,34341,1251.7,296606,5,,,,
17.64,62.37,57.2,34477,1320,296857,5,,,,
18.01,58.3,56.7,34686,1320,297089,5,,,,
18.07,59.43,55.1,34844,1320,297311,4.9,,,,
18.07,65.51,55,35286,1352.9,297526,4.7,,,,
17.8,61.63,55.8,35412,1352.9,297734,4.8,,,,
17.8,62.9,54.3,35451,1352.9,297950,4.7,,,,
17.77,69.69,55.2,35379,1391.7,298170,4.7,,,,
17.46,70.94,53.7,35321,1391.7,298401,4.6,,,,
16.82,70.96,52,35370,1391.7,298653,4.6,,,,
16.61,74.41,53,35330,1409,298910,4.7,,,,
16.67,73.05,53.7,35292,1409,299178,4.7,,,,
16.77,63.87,52.2,35476,1409,299452,4.5,,,,
17.14,58.88,51.4,35650,1358.7,299710,4.4,,,,
17.24,59.37,50.3,35747,1358.7,299950,4.5,,,,
17.38,62.03,51.4,35813,1358.7,300178,4.4,,,,
17.36,54.57,49.5,35819,1270.8,300398,4.6,,,,
17.49,59.26,51.9,35887,1270.8,300608,4.5,,,,
